login_hour,failed_attempts,ip_count,failure_ratio
16,1,1,0.26
4,34,20,0.76
11,2,1,0.06
19,2,2,0.03
16,2,1,0.1
18,2,2,0.1
20,2,2,0.15
20,0,2,0.25
1,5,2,0.77
13,2,1,0.06
8,0,2,0.26
13,2,1,0.26
13,12,3,0.81
5,10,3,0.52
9,1,2,0.19
8,0,2,0.27
12,1,1,0.14
10,1,2,0.07
16,0,2,0.15
9,2,2,0.21
10,0,1,0.0
12,1,1,0.18
9,1,2,0.27
11,2,1,0.04
13,0,2,0.27
19,2,1,0.2
7,10,7,0.43
19,0,1,0.29
12,2,2,0.11
3,10,9,0.66
0,3,5,0.71
2,7,4,0.73
20,2,2,0.24
17,1,2,0.29
15,2,2,0.12
18,1,2,0.03
18,1,1,0.13
17,0,1,0.28
14,1,2,0.02
16,2,2,0.28
15,0,1,0.25
15,0,1,0.26
8,2,1,0.01
13,2,2,0.11
18,2,1,0.25
2,6,5,0.63
14,14,8,0.44
2,3,2,0.65
17,0,2,0.19
8,1,1,0.02
17,0,2,0.2
18,1,1,0.1
16,1,1,0.28
17,1,1,0.1
13,21,3,0.92
19,17,2,0.8
8,1,1,0.15
8,1,1,0.27
17,2,1,0.01
14,2,2,0.19
13,0,1,0.0
4,40,12,0.81
16,2,1,0.04
16,2,1,0.26
10,2,1,0.28
17,0,2,0.3
19,2,1,0.03
16,2,1,0.25
3,7,5,0.76
8,2,2,0.03
12,1,1,0.2
9,0,1,0.04
16,2,2,0.1
12,1,1,0.2
14,23,2,0.81
22,11,5,0.48
16,1,1,0.11
8,0,2,0.11
16,0,1,0.17
1,5,3,0.58
14,0,1,0.18
9,2,1,0.13
8,0,2,0.25
4,5,14,0.51
3,3,4,0.69
22,41,17,0.84
17,2,1,0.02
11,21,1,0.84
13,1,1,0.27
14,2,2,0.15
8,2,2,0.3
11,2,2,0.01
5,49,9,0.95
16,2,1,0.29
14,0,2,0.12
16,2,2,0.28
8,0,1,0.22
16,24,12,0.89
13,0,1,0.02
16,1,1,0.19
17,0,1,0.19
8,2,1,0.29
11,1,2,0.09
8,0,1,0.15
12,0,2,0.14
19,0,2,0.13
10,0,2,0.21
20,0,2,0.09
17,0,1,0.13
16,1,1,0.27
17,2,1,0.04
12,0,2,0.19
13,1,2,0.2
3,10,3,0.67
13,0,2,0.05
18,17,3,0.87
11,1,2,0.21
14,0,2,0.05
10,23,18,0.8
19,0,1,0.27
2,9,3,0.69
19,2,2,0.15
8,2,1,0.0
19,2,1,0.12
10,0,2,0.1
2,3,4,0.59
1,8,2,0.68
17,46,13,0.82
17,21,2,0.91
14,2,1,0.26
18,5,11,0.55
9,0,2,0.04
19,33,17,0.75
2,10,4,0.78
20,2,2,0.26
17,1,1,0.22
18,1,2,0.27
8,0,1,0.29
14,1,2,0.27
20,0,1,0.04
18,2,1,0.02
20,2,1,0.12
19,1,1,0.29
9,1,1,0.02
14,9,6,0.57
20,1,1,0.11
20,0,2,0.08
9,2,2,0.24
11,1,2,0.04
14,2,2,0.01
13,38,13,0.88
19,0,1,0.02
18,1,2,0.2
21,43,14,1.0
3,5,4,0.54
11,1,1,0.03
19,11,15,0.47
11,1,2,0.06
11,0,2,0.23
11,0,1,0.19
17,1,1,0.17
15,0,1,0.06
17,0,1,0.07
20,1,2,0.11
22,32,13,0.98
3,10,2,0.71
18,0,1,0.23
13,1,1,0.28
3,8,3,0.54
18,0,2,0.28
22,22,3,0.89
10,0,1,0.28
11,1,1,0.17
12,2,1,0.02
8,1,1,0.15
10,0,1,0.14
18,0,1,0.12
11,1,1,0.08
12,0,2,0.12
9,7,12,0.68
14,1,1,0.11
11,18,17,0.75
16,2,2,0.26
13,2,1,0.2
18,1,2,0.03
20,0,2,0.0
8,5,9,0.57
17,0,2,0.1
14,1,1,0.22
10,23,3,0.88
15,1,2,0.07
20,2,2,0.16
6,26,1,0.82
18,2,2,0.09
1,5,11,0.61
20,2,2,0.22
3,5,5,0.7
12,0,1,0.22
20,2,2,0.02
11,0,2,0.17
23,8,7,0.43
0,10,3,0.67
9,1,1,0.13
11,0,2,0.14
21,46,14,0.86
18,1,2,0.18
22,14,2,0.96
17,2,1,0.01
16,1,2,0.22
13,2,2,0.28
12,13,7,0.57
2,45,19,0.89
0,43,8,0.91
22,7,8,0.65
